#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1       CASTOR_EM  0.26570  0.26570  0.26570  0.26570   56000001
               -1               1               2       CASTOR_EM  0.55340  0.55340  0.55340  0.55340   56000002
               -1               1               3      CASTOR_HAD  0.09650  0.09650  0.09650  0.09650   56000003
               -1               1               4      CASTOR_HAD  0.13670  0.13670  0.13670  0.13670   56000004
               -1               1               5      CASTOR_HAD  0.17880  0.17880  0.17880  0.17880   56000005
               -1               1               6      CASTOR_HAD  0.01160  0.01160  0.01160  0.01160   56000006
               -1               1               7      CASTOR_HAD 27.85790 27.85790 27.85790 27.85790   56000007
               -1               1               8      CASTOR_HAD  0.01810  0.01810  0.01810  0.01810   56000008
               -1               1               9      CASTOR_HAD  0.01190  0.01190  0.01190  0.01190   56000009
               -1               1              10      CASTOR_HAD  0.13550  0.13550  0.13550  0.13550   5600000A
               -1               1              11      CASTOR_HAD  0.12210  0.12210  0.12210  0.12210   5600000B
               -1               1              12      CASTOR_HAD  0.16390  0.16390  0.16390  0.16390   5600000C
               -1               1              13      CASTOR_HAD  0.16900  0.16900  0.16900  0.16900   5600000D
               -1               1              14      CASTOR_HAD  0.15810  0.15810  0.15810  0.15810   5600000E
               -1               2               1       CASTOR_EM  0.19440  0.19440  0.19440  0.19440   56000011
               -1               2               2       CASTOR_EM  0.22910  0.22910  0.22910  0.22910   56000012
               -1               2               3      CASTOR_HAD  0.10110  0.10110  0.10110  0.10110   56000013
               -1               2               4      CASTOR_HAD  0.14710  0.14710  0.14710  0.14710   56000014
               -1               2               5      CASTOR_HAD  0.17560  0.17560  0.17560  0.17560   56000015
               -1               2               6      CASTOR_HAD  0.02370  0.02370  0.02370  0.02370   56000016
               -1               2               7      CASTOR_HAD 20.98810 20.98810 20.98810 20.98810   56000017
               -1               2               8      CASTOR_HAD  0.23840  0.23840  0.23840  0.23840   56000018
               -1               2               9      CASTOR_HAD  0.01850  0.01850  0.01850  0.01850   56000019
               -1               2              10      CASTOR_HAD  0.09920  0.09920  0.09920  0.09920   5600001A
               -1               2              11      CASTOR_HAD  0.10140  0.10140  0.10140  0.10140   5600001B
               -1               2              12      CASTOR_HAD  0.10710  0.10710  0.10710  0.10710   5600001C
               -1               2              13      CASTOR_HAD  0.19330  0.19330  0.19330  0.19330   5600001D
               -1               2              14      CASTOR_HAD  0.19350  0.19350  0.19350  0.19350   5600001E
               -1               3               1       CASTOR_EM  0.16850  0.16850  0.16850  0.16850   56000021
               -1               3               2       CASTOR_EM  0.29540  0.29540  0.29540  0.29540   56000022
               -1               3               3      CASTOR_HAD  0.09960  0.09960  0.09960  0.09960   56000023
               -1               3               4      CASTOR_HAD  0.16620  0.16620  0.16620  0.16620   56000024
               -1               3               5      CASTOR_HAD  0.06910  0.06910  0.06910  0.06910   56000025
               -1               3               6      CASTOR_HAD  0.02330  0.02330  0.02330  0.02330   56000026
               -1               3               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000027
               -1               3               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000028
               -1               3               9      CASTOR_HAD  0.04680  0.04680  0.04680  0.04680   56000029
               -1               3              10      CASTOR_HAD  0.11310  0.11310  0.11310  0.11310   5600002A
               -1               3              11      CASTOR_HAD  0.13760  0.13760  0.13760  0.13760   5600002B
               -1               3              12      CASTOR_HAD  0.18900  0.18900  0.18900  0.18900   5600002C
               -1               3              13      CASTOR_HAD  0.18150  0.18150  0.18150  0.18150   5600002D
               -1               3              14      CASTOR_HAD  0.28280  0.28280  0.28280  0.28280   5600002E
               -1               4               1       CASTOR_EM  0.17250  0.17250  0.17250  0.17250   56000031
               -1               4               2       CASTOR_EM  0.19430  0.19430  0.19430  0.19430   56000032
               -1               4               3      CASTOR_HAD  0.11510  0.11510  0.11510  0.11510   56000033
               -1               4               4      CASTOR_HAD  0.10930  0.10930  0.10930  0.10930   56000034
               -1               4               5      CASTOR_HAD  0.14110  0.14110  0.14110  0.14110   56000035
               -1               4               6      CASTOR_HAD  0.03950  0.03950  0.03950  0.03950   56000036
               -1               4               7      CASTOR_HAD 69.00140 69.00140 69.00140 69.00140   56000037
               -1               4               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000038
               -1               4               9      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000039
               -1               4              10      CASTOR_HAD  0.53320  0.53320  0.53320  0.53320   5600003A
               -1               4              11      CASTOR_HAD  0.11140  0.11140  0.11140  0.11140   5600003B
               -1               4              12      CASTOR_HAD  0.12530  0.12530  0.12530  0.12530   5600003C
               -1               4              13      CASTOR_HAD  0.10480  0.10480  0.10480  0.10480   5600003D
               -1               4              14      CASTOR_HAD  0.33690  0.33690  0.33690  0.33690   5600003E
               -1               5               1       CASTOR_EM  0.47390  0.47390  0.47390  0.47390   56000041
               -1               5               2       CASTOR_EM  0.33240  0.33240  0.33240  0.33240   56000042
               -1               5               3      CASTOR_HAD  0.21180  0.21180  0.21180  0.21180   56000043
               -1               5               4      CASTOR_HAD  0.22250  0.22250  0.22250  0.22250   56000044
               -1               5               5      CASTOR_HAD  0.11300  0.11300  0.11300  0.11300   56000045
               -1               5               6      CASTOR_HAD  0.03100  0.03100  0.03100  0.03100   56000046
               -1               5               7      CASTOR_HAD 543.39771 543.39771 543.39771 543.39771   56000047
               -1               5               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000048
               -1               5               9      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000049
               -1               5              10      CASTOR_HAD 13.58460 13.58460 13.58460 13.58460   5600004A
               -1               5              11      CASTOR_HAD  0.23500  0.23500  0.23500  0.23500   5600004B
               -1               5              12      CASTOR_HAD  0.46140  0.46140  0.46140  0.46140   5600004C
               -1               5              13      CASTOR_HAD  0.23610  0.23610  0.23610  0.23610   5600004D
               -1               5              14      CASTOR_HAD  0.58360  0.58360  0.58360  0.58360   5600004E
               -1               6               1       CASTOR_EM  0.12750  0.12750  0.12750  0.12750   56000051
               -1               6               2       CASTOR_EM  0.15040  0.15040  0.15040  0.15040   56000052
               -1               6               3      CASTOR_HAD  0.16130  0.16130  0.16130  0.16130   56000053
               -1               6               4      CASTOR_HAD  0.21910  0.21910  0.21910  0.21910   56000054
               -1               6               5      CASTOR_HAD  0.08800  0.08800  0.08800  0.08800   56000055
               -1               6               6      CASTOR_HAD  0.05130  0.05130  0.05130  0.05130   56000056
               -1               6               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000057
               -1               6               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000058
               -1               6               9      CASTOR_HAD  0.07140  0.07140  0.07140  0.07140   56000059
               -1               6              10      CASTOR_HAD  0.19440  0.19440  0.19440  0.19440   5600005A
               -1               6              11      CASTOR_HAD  0.18310  0.18310  0.18310  0.18310   5600005B
               -1               6              12      CASTOR_HAD  0.50200  0.50200  0.50200  0.50200   5600005C
               -1               6              13      CASTOR_HAD  0.41610  0.41610  0.41610  0.41610   5600005D
               -1               6              14      CASTOR_HAD  0.80660  0.80660  0.80660  0.80660   5600005E
               -1               7               1       CASTOR_EM  0.26330  0.26330  0.26330  0.26330   56000061
               -1               7               2       CASTOR_EM  0.28890  0.28890  0.28890  0.28890   56000062
               -1               7               3      CASTOR_HAD  0.28970  0.28970  0.28970  0.28970   56000063
               -1               7               4      CASTOR_HAD  0.15530  0.15530  0.15530  0.15530   56000064
               -1               7               5      CASTOR_HAD  0.26950  0.26950  0.26950  0.26950   56000065
               -1               7               6      CASTOR_HAD  0.18580  0.18580  0.18580  0.18580   56000066
               -1               7               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000067
               -1               7               8      CASTOR_HAD  0.03850  0.03850  0.03850  0.03850   56000068
               -1               7               9      CASTOR_HAD  0.04850  0.04850  0.04850  0.04850   56000069
               -1               7              10      CASTOR_HAD  0.31370  0.31370  0.31370  0.31370   5600006A
               -1               7              11      CASTOR_HAD  0.90490  0.90490  0.90490  0.90490   5600006B
               -1               7              12      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   5600006C
               -1               7              13      CASTOR_HAD  0.70110  0.70110  0.70110  0.70110   5600006D
               -1               7              14      CASTOR_HAD  1.22910  1.22910  1.22910  1.22910   5600006E
               -1               8               1       CASTOR_EM  0.26620  0.26620  0.26620  0.26620   56000071
               -1               8               2       CASTOR_EM  0.32910  0.32910  0.32910  0.32910   56000072
               -1               8               3      CASTOR_HAD  0.30210  0.30210  0.30210  0.30210   56000073
               -1               8               4      CASTOR_HAD  0.41590  0.41590  0.41590  0.41590   56000074
               -1               8               5      CASTOR_HAD  0.41590  0.41590  0.41590  0.41590   56000075
               -1               8               6      CASTOR_HAD  0.03490  0.03490  0.03490  0.03490   56000076
               -1               8               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000077
               -1               8               8      CASTOR_HAD  0.04750  0.04750  0.04750  0.04750   56000078
               -1               8               9      CASTOR_HAD  0.05960  0.05960  0.05960  0.05960   56000079
               -1               8              10      CASTOR_HAD  0.31560  0.31560  0.31560  0.31560   5600007A
               -1               8              11      CASTOR_HAD  0.52320  0.52320  0.52320  0.52320   5600007B
               -1               8              12      CASTOR_HAD  0.22620  0.22620  0.22620  0.22620   5600007C
               -1               8              13      CASTOR_HAD  0.45960  0.45960  0.45960  0.45960   5600007D
               -1               8              14      CASTOR_HAD  0.23250  0.23250  0.23250  0.23250   5600007E
               -1               9               1       CASTOR_EM  0.25560  0.25560  0.25560  0.25560   56000081
               -1               9               2       CASTOR_EM  0.30200  0.30200  0.30200  0.30200   56000082
               -1               9               3      CASTOR_HAD  0.20720  0.20720  0.20720  0.20720   56000083
               -1               9               4      CASTOR_HAD  0.26430  0.26430  0.26430  0.26430   56000084
               -1               9               5      CASTOR_HAD  0.16410  0.16410  0.16410  0.16410   56000085
               -1               9               6      CASTOR_HAD  0.16320  0.16320  0.16320  0.16320   56000086
               -1               9               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000087
               -1               9               8      CASTOR_HAD  0.01620  0.01620  0.01620  0.01620   56000088
               -1               9               9      CASTOR_HAD  0.05060  0.05060  0.05060  0.05060   56000089
               -1               9              10      CASTOR_HAD  0.15480  0.15480  0.15480  0.15480   5600008A
               -1               9              11      CASTOR_HAD  0.16090  0.16090  0.16090  0.16090   5600008B
               -1               9              12      CASTOR_HAD  0.16150  0.16150  0.16150  0.16150   5600008C
               -1               9              13      CASTOR_HAD  0.18030  0.18030  0.18030  0.18030   5600008D
               -1               9              14      CASTOR_HAD  0.35910  0.35910  0.35910  0.35910   5600008E
               -1              10               1       CASTOR_EM  0.38100  0.38100  0.38100  0.38100   56000091
               -1              10               2       CASTOR_EM  0.49390  0.49390  0.49390  0.49390   56000092
               -1              10               3      CASTOR_HAD  0.17230  0.17230  0.17230  0.17230   56000093
               -1              10               4      CASTOR_HAD  0.15550  0.15550  0.15550  0.15550   56000094
               -1              10               5      CASTOR_HAD  0.10460  0.10460  0.10460  0.10460   56000095
               -1              10               6      CASTOR_HAD  0.05690  0.05690  0.05690  0.05690   56000096
