#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1       CASTOR_EM  3.82270  3.82270  3.82270  3.82270   56000001
               -1               1               2       CASTOR_EM  4.10390  4.10390  4.10390  4.10390   56000002
               -1               1               3      CASTOR_HAD  1.73110  1.73110  1.73110  1.73110   56000003
               -1               1               4      CASTOR_HAD  2.45840  2.45840  2.45840  2.45840   56000004
               -1               1               5      CASTOR_HAD  3.40090  3.40090  3.40090  3.40090   56000005
               -1               1               6      CASTOR_HAD  0.18220  0.18220  0.18220  0.18220   56000006
               -1               1               7      CASTOR_HAD  9.51050  9.51050  9.51050  9.51050   56000007
               -1               1               8      CASTOR_HAD  0.33380  0.33380  0.33380  0.33380   56000008
               -1               1               9      CASTOR_HAD  0.25080  0.25080  0.25080  0.25080   56000009
               -1               1              10      CASTOR_HAD  3.09240  3.09240  3.09240  3.09240   5600000A
               -1               1              11      CASTOR_HAD  2.08030  2.08030  2.08030  2.08030   5600000B
               -1               1              12      CASTOR_HAD  1.48310  1.48310  1.48310  1.48310   5600000C
               -1               1              13      CASTOR_HAD  2.05380  2.05380  2.05380  2.05380   5600000D
               -1               1              14      CASTOR_HAD  1.63040  1.63040  1.63040  1.63040   5600000E
               -1               2               1       CASTOR_EM  3.47110  3.47110  3.47110  3.47110   56000011
               -1               2               2       CASTOR_EM  4.39470  4.39470  4.39470  4.39470   56000012
               -1               2               3      CASTOR_HAD  2.03110  2.03110  2.03110  2.03110   56000013
               -1               2               4      CASTOR_HAD  2.15870  2.15870  2.15870  2.15870   56000014
               -1               2               5      CASTOR_HAD  2.85960  2.85960  2.85960  2.85960   56000015
               -1               2               6      CASTOR_HAD  0.29310  0.29310  0.29310  0.29310   56000016
               -1               2               7      CASTOR_HAD  4.35790  4.35790  4.35790  4.35790   56000017
               -1               2               8      CASTOR_HAD  2.17670  2.17670  2.17670  2.17670   56000018
               -1               2               9      CASTOR_HAD  0.24670  0.24670  0.24670  0.24670   56000019
               -1               2              10      CASTOR_HAD  2.55620  2.55620  2.55620  2.55620   5600001A
               -1               2              11      CASTOR_HAD  2.39710  2.39710  2.39710  2.39710   5600001B
               -1               2              12      CASTOR_HAD  1.65120  1.65120  1.65120  1.65120   5600001C
               -1               2              13      CASTOR_HAD  2.12030  2.12030  2.12030  2.12030   5600001D
               -1               2              14      CASTOR_HAD  2.09360  2.09360  2.09360  2.09360   5600001E
               -1               3               1       CASTOR_EM  2.81590  2.81590  2.81590  2.81590   56000021
               -1               3               2       CASTOR_EM  3.51990  3.51990  3.51990  3.51990   56000022
               -1               3               3      CASTOR_HAD  1.95800  1.95800  1.95800  1.95800   56000023
               -1               3               4      CASTOR_HAD  3.99540  3.99540  3.99540  3.99540   56000024
               -1               3               5      CASTOR_HAD  1.63720  1.63720  1.63720  1.63720   56000025
               -1               3               6      CASTOR_HAD  0.30910  0.30910  0.30910  0.30910   56000026
               -1               3               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000027
               -1               3               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000028
               -1               3               9      CASTOR_HAD  0.80480  0.80480  0.80480  0.80480   56000029
               -1               3              10      CASTOR_HAD  2.47140  2.47140  2.47140  2.47140   5600002A
               -1               3              11      CASTOR_HAD  3.40430  3.40430  3.40430  3.40430   5600002B
               -1               3              12      CASTOR_HAD  3.80150  3.80150  3.80150  3.80150   5600002C
               -1               3              13      CASTOR_HAD  2.31460  2.31460  2.31460  2.31460   5600002D
               -1               3              14      CASTOR_HAD  3.28830  3.28830  3.28830  3.28830   5600002E
               -1               4               1       CASTOR_EM  2.60810  2.60810  2.60810  2.60810   56000031
               -1               4               2       CASTOR_EM  2.74080  2.74080  2.74080  2.74080   56000032
               -1               4               3      CASTOR_HAD  2.13150  2.13150  2.13150  2.13150   56000033
               -1               4               4      CASTOR_HAD  2.31670  2.31670  2.31670  2.31670   56000034
               -1               4               5      CASTOR_HAD  2.33940  2.33940  2.33940  2.33940   56000035
               -1               4               6      CASTOR_HAD  0.45500  0.45500  0.45500  0.45500   56000036
               -1               4               7      CASTOR_HAD 14.30800 14.30800 14.30800 14.30800   56000037
               -1               4               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000038
               -1               4               9      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000039
               -1               4              10      CASTOR_HAD  4.55920  4.55920  4.55920  4.55920   5600003A
               -1               4              11      CASTOR_HAD  2.43690  2.43690  2.43690  2.43690   5600003B
               -1               4              12      CASTOR_HAD  2.20350  2.20350  2.20350  2.20350   5600003C
               -1               4              13      CASTOR_HAD  1.07240  1.07240  1.07240  1.07240   5600003D
               -1               4              14      CASTOR_HAD  3.05680  3.05680  3.05680  3.05680   5600003E
               -1               5               1       CASTOR_EM  3.13950  3.13950  3.13950  3.13950   56000041
               -1               5               2       CASTOR_EM  3.74890  3.74890  3.74890  3.74890   56000042
               -1               5               3      CASTOR_HAD  2.65240  2.65240  2.65240  2.65240   56000043
               -1               5               4      CASTOR_HAD  3.02900  3.02900  3.02900  3.02900   56000044
               -1               5               5      CASTOR_HAD  1.84090  1.84090  1.84090  1.84090   56000045
               -1               5               6      CASTOR_HAD  0.48920  0.48920  0.48920  0.48920   56000046
               -1               5               7      CASTOR_HAD 10.26610 10.26610 10.26610 10.26610   56000047
               -1               5               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000048
               -1               5               9      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000049
               -1               5              10      CASTOR_HAD 19.29990 19.29990 19.29990 19.29990   5600004A
               -1               5              11      CASTOR_HAD  2.38800  2.38800  2.38800  2.38800   5600004B
               -1               5              12      CASTOR_HAD  5.37080  5.37080  5.37080  5.37080   5600004C
               -1               5              13      CASTOR_HAD  2.47740  2.47740  2.47740  2.47740   5600004D
               -1               5              14      CASTOR_HAD  4.95430  4.95430  4.95430  4.95430   5600004E
               -1               6               1       CASTOR_EM  2.17720  2.17720  2.17720  2.17720   56000051
               -1               6               2       CASTOR_EM  2.71800  2.71800  2.71800  2.71800   56000052
               -1               6               3      CASTOR_HAD  2.31530  2.31530  2.31530  2.31530   56000053
               -1               6               4      CASTOR_HAD  4.14170  4.14170  4.14170  4.14170   56000054
               -1               6               5      CASTOR_HAD  1.26560  1.26560  1.26560  1.26560   56000055
               -1               6               6      CASTOR_HAD  0.44600  0.44600  0.44600  0.44600   56000056
               -1               6               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000057
               -1               6               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000058
               -1               6               9      CASTOR_HAD  0.76400  0.76400  0.76400  0.76400   56000059
               -1               6              10      CASTOR_HAD  2.43410  2.43410  2.43410  2.43410   5600005A
               -1               6              11      CASTOR_HAD  1.77110  1.77110  1.77110  1.77110   5600005B
               -1               6              12      CASTOR_HAD  5.98590  5.98590  5.98590  5.98590   5600005C
               -1               6              13      CASTOR_HAD  3.76660  3.76660  3.76660  3.76660   5600005D
               -1               6              14      CASTOR_HAD  5.96230  5.96230  5.96230  5.96230   5600005E
               -1               7               1       CASTOR_EM  2.54440  2.54440  2.54440  2.54440   56000061
               -1               7               2       CASTOR_EM  3.51780  3.51780  3.51780  3.51780   56000062
               -1               7               3      CASTOR_HAD  3.00430  3.00430  3.00430  3.00430   56000063
               -1               7               4      CASTOR_HAD  2.34340  2.34340  2.34340  2.34340   56000064
               -1               7               5      CASTOR_HAD  3.81530  3.81530  3.81530  3.81530   56000065
